pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,682,Saudi Arabia,,,,,,,,,99,Commodities not specified according to kind,,,,,,,,,8932,,,0
HS,2012,201203,March 2012,2,0,1,Imports,466,Mali,,842,United States of America,,,,,,,,,99,Commodities not specified according to kind,,,,,,,,,21534,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,01,Animals; live,,,,,,,,,8035159,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,204,Benin,,,,,,,,,01,Animals; live,,,,,,,,,63032,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,288,Ghana,,,,,,,,,01,Animals; live,,,,,,,,,3320,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,01,Animals; live,,,,,,,,,5408795,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,414,Kuwait,,,,,,,,,01,Animals; live,,,,,,,,,652,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,478,Mauritania,,,,,,,,,01,Animals; live,,,,,,,,,20472,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,562,Niger,,,,,,,,,01,Animals; live,,,,,,,,,146119,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,01,Animals; live,,,,,,,,,2043870,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,01,Animals; live,,,,,,,,,348899,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,160145,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,251,France,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,91,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,324,Guinea,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,,,160055,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,53240,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,251,France,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,372,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,10928,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,10251,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,694,Sierra Leone,,,,,,,,,07,Vegetables and certain roots and tubers; edible,,,,,,,,,31689,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,160194,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,156,China,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,6438,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,251,France,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,30180,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,288,Ghana,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,92927,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,566,Nigeria,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,89,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",,,,,,,,,30560,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,26337,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,504,Morocco,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,6137,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,09,"Coffee, tea, mate and spices",,,,,,,,,20200,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,10,Cereals,,,,,,,,,9718,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,251,France,,,,,,,,,10,Cereals,,,,,,,,,5996,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,10,Cereals,,,,,,,,,3722,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,691067,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,251,France,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,122862,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,288,Ghana,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,36538,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,39234,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,654,Saint Helena,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,273829,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,2616,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,757,Switzerland,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,181583,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,826,United Kingdom,,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",,,,,,,,,34405,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,115666,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,251,France,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,105606,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,699,India,,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",,,,,,,,,10060,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,2394,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,,,2394,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,206730,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,251,France,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,11831,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,372,Ireland,,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",,,,,,,,,194899,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,54537,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,251,France,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,16788,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,381,Italy,,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",,,,,,,,,37748,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,445233,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,562,Niger,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,155504,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,22,"Beverages, spirits and vinegar",,,,,,,,,289729,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,12726,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,23,"Food industries, residues and wastes thereof; prepared animal fodder",,,,,,,,,12726,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,53855,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,124,Canada,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,1328,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,156,China,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,10435,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,905,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,710,South Africa,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,121,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",,,,,,,,,41067,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,26,"Ores, slag and ash",,,,,,,,,612654,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,156,China,,,,,,,,,26,"Ores, slag and ash",,,,,,,,,612654,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,1540,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,,,,,,,,1540,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,93250,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,20215,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,562,Niger,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,15090,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",,,,,,,,,57946,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,30,Pharmaceutical products,,,,,,,,,8495,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,30,Pharmaceutical products,,,,,,,,,8495,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,31,Fertilizers,,,,,,,,,10817210,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,440,Lithuania,,,,,,,,,31,Fertilizers,,,,,,,,,616748,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,504,Morocco,,,,,,,,,31,Fertilizers,,,,,,,,,3075767,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,643,Russian Federation,,,,,,,,,31,Fertilizers,,,,,,,,,1649668,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,804,Ukraine,,,,,,,,,31,Fertilizers,,,,,,,,,958575,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,31,Fertilizers,,,,,,,,,4516453,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,,,2365,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",,,,,,,,,2365,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,,,1308,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,,,704,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",,,,,,,,,604,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,,,,,,,,,1779,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,,,,,,,,,704,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,35,Albuminoidal substances; modified starches; glues; enzymes,,,,,,,,,1075,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,38,Chemical products n.e.s.,,,,,,,,,3837,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,784,United Arab Emirates,,,,,,,,,38,Chemical products n.e.s.,,,,,,,,,3837,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,39,Plastics and articles thereof,,,,,,,,,123619,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,251,France,,,,,,,,,39,Plastics and articles thereof,,,,,,,,,2972,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,39,Plastics and articles thereof,,,,,,,,,11267,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,682,Saudi Arabia,,,,,,,,,39,Plastics and articles thereof,,,,,,,,,24279,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,710,South Africa,,,,,,,,,39,Plastics and articles thereof,,,,,,,,,44366,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,768,Togo,,,,,,,,,39,Plastics and articles thereof,,,,,,,,,17149,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,39,Plastics and articles thereof,,,,,,,,,23586,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,28593,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,324,Guinea,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,27367,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,490,"Other Asia, nes",,,,,,,,,40,Rubber and articles thereof,,,,,,,,,124,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,826,United Kingdom,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,909,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,842,United States of America,,,,,,,,,40,Rubber and articles thereof,,,,,,,,,193,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,,,1785057,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,156,China,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,,,829429,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,288,Ghana,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,,,4185,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,381,Italy,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,,,672242,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,,,121,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,566,Nigeria,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,,,5885,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,41,Raw hides and skins (other than furskins) and leather,,,,,,,,,273196,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",,,,,,,,,104534,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,324,Guinea,,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",,,,,,,,,72036,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",,,,,,,,,32498,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",,,,,,,,,5477,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,20,Andorra,,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",,,,,,,,,2721,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,566,Nigeria,,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",,,,,,,,,666,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",,,,,,,,,2089,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,52,Cotton,,,,,,,,,55655118,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,156,China,,,,,,,,,52,Cotton,,,,,,,,,36948443,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,360,Indonesia,,,,,,,,,52,Cotton,,,,,,,,,1128343,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,381,Italy,,,,,,,,,52,Cotton,,,,,,,,,16580,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,52,Cotton,,,,,,,,,468,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,458,Malaysia,,,,,,,,,52,Cotton,,,,,,,,,14601588,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,620,Portugal,,,,,,,,,52,Cotton,,,,,,,,,8391,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,52,Cotton,,,,,,,,,2333576,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,764,Thailand,,,,,,,,,52,Cotton,,,,,,,,,475843,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,792,Turkey,,,,,,,,,52,Cotton,,,,,,,,,49358,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,52,Cotton,,,,,,,,,92527,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,4903,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,,,,,,,,4903,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,55,Man-made staple fibres,,,,,,,,,27135,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,156,China,,,,,,,,,55,Man-made staple fibres,,,,,,,,,27135,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,4134,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,,,,,,,,4134,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,,,,,,,,,6036,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,276,Germany,,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,,,,,,,,,5432,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,64,Footwear; gaiters and the like; parts of such articles,,,,,,,,,604,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",,,,,,,,,121017150,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,344,"China, Hong Kong SAR",,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",,,,,,,,,358820,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,372,Ireland,,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",,,,,,,,,8802500,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,710,South Africa,,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",,,,,,,,,71076631,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,757,Switzerland,,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",,,,,,,,,34850260,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,784,United Arab Emirates,,,,,,,,,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",,,,,,,,,5928938,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,103479,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,276,Germany,,,,,,,,,72,Iron and steel,,,,,,,,,38932,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,384,Côte d'Ivoire,,,,,,,,,72,Iron and steel,,,,,,,,,13995,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,686,Senegal,,,,,,,,,72,Iron and steel,,,,,,,,,13279,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,768,Togo,,,,,,,,,72,Iron and steel,,,,,,,,,37272,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,73,Iron or steel articles,,,,,,,,,7440,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,251,France,,,,,,,,,73,Iron or steel articles,,,,,,,,,1304,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,490,"Other Asia, nes",,,,,,,,,73,Iron or steel articles,,,,,,,,,981,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,710,South Africa,,,,,,,,,73,Iron or steel articles,,,,,,,,,1721,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,752,Sweden,,,,,,,,,73,Iron or steel articles,,,,,,,,,535,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,842,United States of America,,,,,,,,,73,Iron or steel articles,,,,,,,,,2899,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,,,1811,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,276,Germany,,,,,,,,,74,Copper and articles thereof,,,,,,,,,1811,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,76,Aluminium and articles thereof,,,,,,,,,8458,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,381,Italy,,,,,,,,,76,Aluminium and articles thereof,,,,,,,,,8458,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,80,Tin; articles thereof,,,,,,,,,5432,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,276,Germany,,,,,,,,,80,Tin; articles thereof,,,,,,,,,5432,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",,,,,,,,,5645,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,490,"Other Asia, nes",,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",,,,,,,,,11,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,854,Burkina Faso,,,,,,,,,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",,,,,,,,,5634,,,0
HS,2012,201203,March 2012,2,0,2,Exports,466,Mali,,0,World,,,,,,,,,83,Metal; miscellaneous products of base metal,,,,,,,,,4,,,0
